symbol,category,strategy_total_return_pct,strategy_cagr_pct,strategy_max_drawdown_pct,strategy_sharpe,strategy_trade_count,strategy_hit_rate_pct,strategy_avg_win_loss_ratio,strategy_time_in_market_pct,bh_total_return_pct,bh_cagr_pct,bh_max_drawdown_pct,bh_sharpe,beat_buy_and_hold
AAPL,tech,0.7939380745112052,0.08632390573289062,-0.09254870477555145,1.153728646095415,42,0.5476190476190477,2.0842103312964837,0.5791549295774648,5.312601726263873,0.2982944538410732,-0.33433708855574085,1.0022851967893895,False
MSFT,tech,0.2562494903756747,0.03284947558383222,-0.1270627671483403,0.4816092761368013,39,0.5641025641025641,1.2531132070503244,0.5819718309859155,2.729661218092253,0.20501898098916937,-0.3755646695102057,0.7757410790938084,False
GOOGL,tech,0.8141214503642702,0.08804722418331723,-0.10997017178433577,1.0340883426519547,35,0.4857142857142857,2.8994477993611225,0.6112676056338028,4.814214988189822,0.28325447880332444,-0.44320051255184745,0.9449536454553463,False
AMZN,tech,0.011325673687566207,0.0015968718707044527,-0.20464986583879527,0.06162426515117124,32,0.375,1.798597771272364,0.5453521126760563,1.932681512910106,0.1646673553729463,-0.561452641226775,0.6114437926167144,False
NVDA,tech,1.1275304455473716,0.11289273865983351,-0.1210702297327424,1.0680030455719574,44,0.6136363636363636,1.987212490445205,0.6777464788732395,60.40067968281469,0.7920398154969579,-0.6636205656759347,1.3989082751521376,False
META,tech,0.7935954431203867,0.08629450745094824,-0.10497653211332088,0.9949530828387427,27,0.6296296296296297,1.848098410458328,0.5036619718309859,2.43202930098329,0.19090370883803054,-0.7673609233178325,0.6256968569063884,False
JPM,financials,0.2888643163064559,0.036606938913332554,-0.13966046489852524,0.5306967936735444,34,0.5294117647058824,1.4017872114791876,0.5830985915492958,2.4221375000000003,0.1904168016783745,-0.4398610727864788,0.7310669238261842,False
XOM,energy,0.1402365922625537,0.018767366274136554,-0.18618612366868373,0.2959815160912329,31,0.45161290322580644,1.835648471233646,0.5295774647887324,1.3572801182557277,0.12917971476901857,-0.5734436457344365,0.5414801607973485,False
WMT,consumer,0.21356802591071467,0.027803687256044318,-0.15911742714086588,0.4619998352886283,31,0.5483870967741935,1.3221194573295765,0.6518309859154929,2.026553672316384,0.16987799590941144,-0.26008632013510974,0.7957934068408646,False
KO,consumer,0.011481650113111863,0.001618756513297237,-0.10681106131298933,0.05703070542450172,37,0.5405405405405406,0.9088443700306982,0.5864788732394366,0.6620117003208148,0.07463095655828123,-0.37535340096457676,0.46144584916623177,False
JNJ,healthcare,0.10153903045098156,0.013795892886342642,-0.12684802244910437,0.3031579225692814,36,0.4722222222222222,1.2652698198406633,0.5092957746478873,1.112928229151561,0.11180734717452556,-0.27826486926002547,0.6377025557369962,False
UNH,healthcare,-0.1324205286840754,-0.019924163625169355,-0.23640842178870777,-0.2536456510156016,37,0.5675675675675675,0.49154027618219986,0.4591549295774648,0.6329770148026317,0.07195099234473368,-0.6197201119552179,0.37972211371427605,False
CAT,industrials,-0.04922816776556205,-0.007126635927115266,-0.20706364449127884,-0.08233605957449677,30,0.4666666666666667,1.26749732952602,0.3571830985915493,6.064838121690826,0.3191690677965173,-0.38982262671892653,1.005544612923696,False
HON,industrials,-0.10889051079298862,-0.01620127819786643,-0.203474455006577,-0.24448617678297221,36,0.3333333333333333,1.4900031035709564,0.4783098591549296,0.3557437782026207,0.04406340047570079,-0.4331713893992764,0.2953301838410411,False
NEE,utilities,-0.15340584885290887,-0.023318277315513503,-0.22050541288590916,-0.4064342070226149,20,0.4,0.9869383604142129,0.3126760563380282,0.5524748790472644,0.06430054769909388,-0.47172236503856035,0.3617912022341847,False
APD,materials,-0.08216720194962834,-0.012074130167608055,-0.17253424105765183,-0.15036485933528168,36,0.4166666666666667,1.2720043569131492,0.4574647887323944,0.35347495395121076,0.04381567564573019,-0.33780169100691776,0.2943134070694937,False
DIS,communication,-0.01080517477288545,-0.001538019575131666,-0.18091517427823292,0.005331915152828286,22,0.5,1.16405431147067,0.3245070422535211,-0.2073015274895349,-0.032378153341417804,-0.6071517012530335,0.058713031047656565,True
PLD,real_estate,0.13573743449775044,0.018196866877024265,-0.1157680655004568,0.2951486751446259,31,0.5161290322580645,1.485736329177836,0.5887323943661972,0.7111886369299778,0.07907976977686837,-0.48118604211619687,0.406449818586693,False
BAC,financials,0.12462760062190359,0.016779771273139676,-0.1731971127641511,0.27320488634173906,34,0.5,1.0822686270832604,0.5701408450704225,1.372445117335352,0.130206088768815,-0.4927048260381594,0.5380336017181654,False
PG,consumer,-0.12866007139591307,-0.019323416166391216,-0.20585524666001617,-0.40186011823952683,37,0.40540540540540543,0.8528206353806894,0.5030985915492958,0.2647033422575351,0.03383138684114528,-0.24633096362395943,0.2653974177252768,False
